他, number_of_appearances:3630
沉痛, number_of_appearances:1
哀悼, number_of_appearances:1
战后, number_of_appearances:1
伤痛, number_of_appearances:1
逝去, number_of_appearances:2
大一, number_of_appearances:1
指挥, number_of_appearances:1
异议, number_of_appearances:1
窃窃私语, number_of_appearances:1
滑门, number_of_appearances:1
黑色金属, number_of_appearances:1
槽, number_of_appearances:4
陡峭, number_of_appearances:2
感应, number_of_appearances:1
引向, number_of_appearances:1
好得多, number_of_appearances:1
斜坡, number_of_appearances:1
滑坡, number_of_appearances:1
沾, number_of_appearances:1
油状, number_of_appearances:1
过度, number_of_appearances:1
巨型, number_of_appearances:2
滑入, number_of_appearances:1
食道, number_of_appearances:1
崎岖, number_of_appearances:1
螺旋形, number_of_appearances:1
下坠, number_of_appearances:1
延长, number_of_appearances:2
无限, number_of_appearances:1
圈地, number_of_appearances:1
转圈, number_of_appearances:1
阵阵, number_of_appearances:2
自己人, number_of_appearances:1
堆叠, number_of_appearances:1
秽, number_of_appearances:1
聚在一起, number_of_appearances:1
一同, number_of_appearances:1
身处, number_of_appearances:1
电线, number_of_appearances:1
管道, number_of_appearances:1
棺材, number_of_appearances:1
大型, number_of_appearances:1
容器, number_of_appearances:2
脊椎, number_of_appearances:1
蜘蛛, number_of_appearances:1
淡色, number_of_appearances:1
水平, number_of_appearances:1
连着, number_of_appearances:1
男, number_of_appearances:1
女, number_of_appearances:1
消瘦, number_of_appearances:2
正坐, number_of_appearances:1
生前, number_of_appearances:1
观察者, number_of_appearances:1
眼镜, number_of_appearances:1
外罩, number_of_appearances:1
外套, number_of_appearances:2
发黄, number_of_appearances:1
粗哑, number_of_appearances:1
响亮, number_of_appearances:1
逆行, number_of_appearances:1
卡车, number_of_appearances:1
有力, number_of_appearances:1
作答, number_of_appearances:1
外太空, number_of_appearances:1
飞出, number_of_appearances:1
女的, number_of_appearances:1
标准, number_of_appearances:1
身着, number_of_appearances:1
长裤, number_of_appearances:2
领, number_of_appearances:2
标识, number_of_appearances:1
齐肩, number_of_appearances:1
面庞, number_of_appearances:1
大家伙儿, number_of_appearances:1
面熟, number_of_appearances:1
刻板, number_of_appearances:1
左至右, number_of_appearances:2
运动衫, number_of_appearances:2
帽子, number_of_appearances:2
令人称奇, number_of_appearances:1
按计划, number_of_appearances:1
软, number_of_appearances:1
动画片, number_of_appearances:1
演, number_of_appearances:1
市长, number_of_appearances:1
管事, number_of_appearances:1
纡尊降贵, number_of_appearances:1
摇动, number_of_appearances:1
去除, number_of_appearances:1
终极, number_of_appearances:2
无色, number_of_appearances:1
白纸, number_of_appearances:1
凸, number_of_appearances:1
人意, number_of_appearances:1
动弹不得, number_of_appearances:1
冰块, number_of_appearances:1
插进, number_of_appearances:1
没入, number_of_appearances:1
暗红色, number_of_appearances:1
踢打, number_of_appearances:1
碾, number_of_appearances:3
腐蚀, number_of_appearances:1
流得, number_of_appearances:1
眼窝, number_of_appearances:1
托, number_of_appearances:1
游丝, number_of_appearances:1
咳, number_of_appearances:1
出血, number_of_appearances:1
僵硬, number_of_appearances:2
好朋友, number_of_appearances:1
直冲, number_of_appearances:1
到手, number_of_appearances:2
不速之客, number_of_appearances:1
跨, number_of_appearances:1
雨点, number_of_appearances:2
发泄, number_of_appearances:1
厮打, number_of_appearances:1
叫嚣, number_of_appearances:1
牵连, number_of_appearances:1
甩开, number_of_appearances:1
歇, number_of_appearances:1
斯, number_of_appearances:1
底, number_of_appearances:1
里道, number_of_appearances:1
救命之恩, number_of_appearances:1
唾弃, number_of_appearances:1
哭泣声, number_of_appearances:1
象征, number_of_appearances:1
昭示, number_of_appearances:1
灯塔, number_of_appearances:1
培根, number_of_appearances:1
上课, number_of_appearances:1
护身符, number_of_appearances:1
未来, number_of_appearances:1
逃亡, number_of_appearances:1
前途未卜, number_of_appearances:1
缠绕, number_of_appearances:1
泪珠, number_of_appearances:1
无表情, number_of_appearances:1
恨意, number_of_appearances:1
入口处, number_of_appearances:1
阵, number_of_appearances:1
男女, number_of_appearances:3
枪, number_of_appearances:4
听不懂, number_of_appearances:1
步枪, number_of_appearances:1
手枪, number_of_appearances:1
原始, number_of_appearances:1
遗弃, number_of_appearances:1
玩具枪, number_of_appearances:1
战争, number_of_appearances:1
枪响, number_of_appearances:1
子弹, number_of_appearances:1
观察窗, number_of_appearances:1
年轻, number_of_appearances:1
抢, number_of_appearances:1
枪声, number_of_appearances:1
指示, number_of_appearances:1
外逃, number_of_appearances:1
拨, number_of_appearances:1
波动, number_of_appearances:1
进一, number_of_appearances:2
蜿蜒, number_of_appearances:1
电子设备, number_of_appearances:1
只得, number_of_appearances:1
高声, number_of_appearances:1
大雨, number_of_appearances:5
水花, number_of_appearances:2
汽车, number_of_appearances:9
凹痕, number_of_appearances:1
海里, number_of_appearances:1
上车, number_of_appearances:5
车门口, number_of_appearances:1
永, number_of_appearances:1
推搡, number_of_appearances:1
登上, number_of_appearances:1
三级, number_of_appearances:1
雨水, number_of_appearances:3
温热, number_of_appearances:1
滚烫, number_of_appearances:1
黏稠, number_of_appearances:1
心来, number_of_appearances:1
暴雨, number_of_appearances:1
车门, number_of_appearances:1
脊柱, number_of_appearances:1
翻倒, number_of_appearances:1
下垂, number_of_appearances:1
脸孔, number_of_appearances:1
变质, number_of_appearances:1
牛奶, number_of_appearances:1
溃疡, number_of_appearances:2
脓水, number_of_appearances:1
干咳, number_of_appearances:1
女子, number_of_appearances:4
别动, number_of_appearances:1
打爆, number_of_appearances:1
后排, number_of_appearances:1
冲刷, number_of_appearances:1
车顶, number_of_appearances:1
震天, number_of_appearances:1
答, number_of_appearances:1
疯女人, number_of_appearances:1
驾驶座, number_of_appearances:1
引擎, number_of_appearances:1
行驶, number_of_appearances:2
一晃, number_of_appearances:1
溃烂, number_of_appearances:1
车头, number_of_appearances:1
雨声, number_of_appearances:1
说不出, number_of_appearances:1
视野, number_of_appearances:2
车窗, number_of_appearances:1
司机, number_of_appearances:2
加大, number_of_appearances:1
油门, number_of_appearances:2
车子, number_of_appearances:2
车身, number_of_appearances:2
前轮, number_of_appearances:1
碾过, number_of_appearances:1
震荡, number_of_appearances:2
甩, number_of_appearances:1
后轮, number_of_appearances:1
几欲, number_of_appearances:1
驶进, number_of_appearances:2
大雨滂沱, number_of_appearances:1
含混不清, number_of_appearances:1
飞驰, number_of_appearances:1
路灯, number_of_appearances:1
建筑物, number_of_appearances:1
车, number_of_appearances:4
发粘, number_of_appearances:1
鼓足, number_of_appearances:1
一回事, number_of_appearances:1
颊, number_of_appearances:1
哀愁, number_of_appearances:1
和善, number_of_appearances:1
冷血, number_of_appearances:1
妇女, number_of_appearances:1
花好, number_of_appearances:1
起因, number_of_appearances:1
耀斑, number_of_appearances:3
疏离, number_of_appearances:1
稀奇, number_of_appearances:1
温度, number_of_appearances:1
地球, number_of_appearances:1
卫星, number_of_appearances:1
成千上万, number_of_appearances:1
死亡人数, number_of_appearances:1
百万, number_of_appearances:1
不计其数, number_of_appearances:1
土地, number_of_appearances:2
生态系统, number_of_appearances:1
南美洲, number_of_appearances:1
富有, number_of_appearances:1
治疗, number_of_appearances:1
治愈, number_of_appearances:2
安第斯山脉, number_of_appearances:2
传闻, number_of_appearances:1
万名, number_of_appearances:1
孤儿, number_of_appearances:2
上千, number_of_appearances:1
考量, number_of_appearances:1
脑电波, number_of_appearances:1
战胜, number_of_appearances:1
撩, number_of_appearances:1
耳, number_of_appearances:1
是由, number_of_appearances:1
因素, number_of_appearances:1
毁灭, number_of_appearances:1
人性, number_of_appearances:2
失, number_of_appearances:1
儿童, number_of_appearances:1
起誓, number_of_appearances:1
膝部, number_of_appearances:1
俯视, number_of_appearances:1
流逝, number_of_appearances:1
北部, number_of_appearances:1
偏远, number_of_appearances:1
地区, number_of_appearances:1
隔离, number_of_appearances:1
万米, number_of_appearances:1
称, number_of_appearances:2
焦土, number_of_appearances:2
介于, number_of_appearances:1
赤道, number_of_appearances:1
高温, number_of_appearances:1
挤满, number_of_appearances:1
感染, number_of_appearances:1
野人, number_of_appearances:1
满心, number_of_appearances:1
风暴, number_of_appearances:1
辨别, number_of_appearances:1
诸如, number_of_appearances:1
开到, number_of_appearances:1
不平, number_of_appearances:1
人身, number_of_appearances:1
泥泞, number_of_appearances:1
停车场, number_of_appearances:2
难以形容, number_of_appearances:1
十九, number_of_appearances:1
宿舍, number_of_appearances:1
床铺, number_of_appearances:3
衣橱, number_of_appearances:2
窗帘, number_of_appearances:2
明黄, number_of_appearances:1
单调乏味, number_of_appearances:1
彩虹, number_of_appearances:1
新世界, number_of_appearances:1
应景, number_of_appearances:1
开车, number_of_appearances:1
工作人员, number_of_appearances:3
十来, number_of_appearances:1
贴身, number_of_appearances:1
幸福感, number_of_appearances:1
坑洞, number_of_appearances:1
来源于, number_of_appearances:1
车上, number_of_appearances:1
衣物, number_of_appearances:1
卧室, number_of_appearances:1
用具, number_of_appearances:1
到位, number_of_appearances:1
比萨饼, number_of_appearances:2
处处, number_of_appearances:1
过于, number_of_appearances:1
以至于, number_of_appearances:1
笑脸, number_of_appearances:1
饭后, number_of_appearances:1
就寝时间, number_of_appearances:1
无人, number_of_appearances:1
提出异议, number_of_appearances:1
也不例外, number_of_appearances:1
上铺, number_of_appearances:2
想念, number_of_appearances:1
床垫, number_of_appearances:1
当初, number_of_appearances:1
急迫, number_of_appearances:1
年前, number_of_appearances:1
说话声, number_of_appearances:1
硬生生, number_of_appearances:1
赶跑, number_of_appearances:1
男生, number_of_appearances:1
屁, number_of_appearances:1
弟弟, number_of_appearances:1
魔力, number_of_appearances:1
负罪感, number_of_appearances:1
泪, number_of_appearances:1
滴流, number_of_appearances:1
差不离, number_of_appearances:1
备忘录, number_of_appearances:1
日, number_of_appearances:1
收件人, number_of_appearances:1
同事, number_of_appearances:1
发件人, number_of_appearances:1
艾娃, number_of_appearances:1
·, number_of_appearances:1
佩奇, number_of_appearances:1
组, number_of_appearances:2
此次, number_of_appearances:2
十名, number_of_appearances:1
素质, number_of_appearances:1
吻合, number_of_appearances:1
令人满意, number_of_appearances:1
之欢, number_of_appearances:1
欣, number_of_appearances:1
被害, number_of_appearances:1
救赎, number_of_appearances:1
撼动, number_of_appearances:1
体系, number_of_appearances:1
老实说, number_of_appearances:1
生还, number_of_appearances:1
说来, number_of_appearances:1
有数, number_of_appearances:1
公布, number_of_appearances:1
深受, number_of_appearances:1
实施, number_of_appearances:3
磨难, number_of_appearances:1
服务, number_of_appearances:1
